"태양광발전시설명","소재지도로명주소","가동상태구분명","설비용량(kw)","공급전압(V)","주파수(Hz)","설치연도","데이터기준일자"
"kepco-1-41-수도공고(스탠드) 태양광발전소","서울시 강남구 개포로 410, 수도공업고등학교","가동중","168.64","380","60","2018","2022-12-02"
"화곡태양광발전소","서울시 강서구 화곡로 21길 62","가동중","19.17","380","60","2018","2022-12-02"
"서울나눔발전소 8호(중랑물재생센터 1차침전지)","서울시 성동구 자동차시장3길 64(용답동), 중랑물재생센터 1차침전지","가동중","988.2","22900","60","2019","2022-12-02"
"LG화학 서울희망그린발전소(중랑물재생센터 생물반응조 및 1차 침전지 후단)","서울시 성동구 자동차시장3길 64(용답동), 중랑물재생센터 생물반응조 및 1차침전지 후단","가동중","622.08","22900","60","2018","2022-12-02"
"엠에스태양광발전소","서울시 영등포구 대림동 664-18","가동중","34.08","380","60","2018","2022-12-02"
"대종회태양광발전소(문중 시설)","서울시 강북구 미아3동 218-1","가동중","18.98","380","60","2018","2022-12-02"
"김선후태양광발전소","서울시 관악구 신림1동 1577-16,17","가동중","17","220","60","2018","2022-12-02"
"도봉시민햇빛나눔발전소 4호기","서울시 도봉구 방학로3길 117(도봉구 보건소)","가동중","19.04","380","60","2018","2022-12-02"
"노너드태양광발전소","서울시 은평구 역촌동 83-39","가동중","12.6","220","60","2018","2022-12-02"
"대한상운햇빛발전소","서울시 성동구 성수동1가 685-58","가동중","59.84","380","60","2018","2022-12-02"
"우일태양광발전소","서울시 동대문구 청계천로 497, 우일빌딩","가동중","37.96","380","60","2018","2022-12-02"
"제이앤비 The Best 2 태양광발전소","서울시 중구 난계로 17길 17, 1569,1567","가동중","12.41","380","60","2019","2022-12-02"
"유덕휴먼빌아파트입주자대표회의 태양광발전소","서울시 강동구 천중로 54길 9-14, 유덕휴먼빌아파트","가동중","19.44","220","60","2018","2022-12-02"
"서울대공원 시민햇빛1호 태양광발전소 ","경기도 과천시 막계동 338 외 71필지(서울대공원 주차장)","준비중","5000","22900","60","","2022-12-02"
"서울대공원 시민햇빛2호 태양광발전소","경기도 과천시 막계동 258 외 70필지(서울대공원 주차장)","준비중","5000","22900","60","","2022-12-02"
"자양고가도로 태양광발전소","서울시 광진구 자양동 562,701, 구의동 627-9,572","가동중","97.92","380","60","2019","2022-12-02"
"강변북로 성수1호 태양광발전소","서울시 성동구 성수동 1가 697-1, 강변북로 옹벽","가동중","73.44","380","60","2019","2022-12-02"
"강변북로 성수2호 태양광발전소","서울시 성동구 성수동2가 623,630-6,158-4, 강변북로 옹벽","가동중","146.88","380","60","2019","2022-12-02"
"경광태양광발전소","서울시 구로구 고척로6길 29(오류동)","가동중","12.32","220","60","2019","2022-12-02"
"엠엠에스㈜태양광발전소","서울시 중랑구 면목동 151-10","가동중","25.55","380","60","2019","2022-12-02"
"개화역환승센터태양광발전소","서울시 강서구 개화동 490-3,개화역환승센터","가동중","184.32","380","60","2019","2022-12-02"
"용마태양광발전소","서울시 중랑구 묵동 250-13, 용마빌딩","가동중","16.32","220","60","2019","2022-12-02"
"고원초등학교 햇빛발전소","서울시 구로구 경인로46길 13, 고원초등학교","가동중","34.68","380","60","2018","2022-12-02"
"데코태양광발전소","서울시 중랑구 상봉동 201","가동중","18.72","380","60","2019","2022-12-02"
"천호태양광발전소","서울시 강동구 올림픽로 92길 52(천호동)","가동중","12.42","220","60","2019","2022-12-02"
"원불교 신촌교당 태양광발전소","서울시 서대문구 신촌로7길 46, 원불교 신촌교당","가동중","32.64","380","60","2019","2022-12-02"
"상계태양광발전소","서울시 노원구 상계로 117","가동중","17.94","380","60","2019","2022-12-02"
"엘하우스태양광발전소","서울시 광진구 자양번영로 11길 21","가동중","9.49","220","60","2019","2022-12-02"
"문정태양광발전소","서울시 송파구 새말로 6길 49","가동중","11.85","380","60","2019","2022-12-02"
"쌍용태양광발전소","서울시 노원구 상계로 137-15","가동중","14.8","220","60","2019","2022-12-02"
"삼화상운1 태양광발전소","서울시 노원구 월계로 280(월계동 541-1)","가동중","99.9","380","60","2019","2022-12-02"
"삼화상운2 태양광발전소","서울시 노원구 월계로 45길 41(월계동 850)","가동중","77.7","380","60","2019","2022-12-02"
"kepco-1-69-봉화중 태양광발전소","서울시 중랑구 망우로70길 89, 봉화중학교","가동중","98.77","380","60","2020","2022-12-02"
"kepco-1-70-원묵중 태양광발전소","서울시 중랑구 신내로23길 57, 원묵중학교","가동중","98.77","380","60","2020","2022-12-02"
"kepco-1-71-방이중 태양광발전소","서울시 송파구 오금로 11길 64, 방이중학교","가동중","49.385","380","60","2020","2022-12-02"
"다스코(주) 동부간선도로 방음터널 태양광발전소","서울시 노원구 상계동 1083 외 10필지","가동중","902.88","22900","60","2020","2022-12-02"
"코원ES 햇빛발전소 3 (송파)","서울시 송파구 장지동 875(서울복합물류 건물 C동, D동 옥상)","가동중","1315.44","22900","60","2019","2022-12-02"
"서서울태양광발전소","서울시 구로구 고척동 218-7","가동중","9.6","380","60","2019","2022-12-02"
"샬롬햇빛태양광발전소","서울시 구로구 온수동 73-1, 초온교회","가동중","52.26","380","60","2019","2022-12-02"
"도봉햇빛나눔발전소 3호기","서울시 도봉구 마들로 932, 다락원 체육공원 부설주차장","가동중","80.64","380","60","2020","2022-12-02"
"건대부중햇빛발전소","서울시 광진구 자양로 145-1, 건국대학교 사범대학 부속중학교","가동중","99.16","380","60","2019","2022-12-02"
"신천유수지 공영주차장 강남햇빛발전소","서울시 송파구 신천동 14 신천유수지 공영주차장","가동중","99.9","380","60","2020","2022-12-02"
"준솔라태양광발전소","서울시 서초구 양재동 9-4","가동중","12.035","220","60","2020","2022-12-02"
"신천유수지 공영주차장 둥근햇빛발전소","서울시 송파구 신천동 14 신천유수지 공영주차장","가동중","83.25","380","60","2020","2022-12-02"
"강남햇빛발전협동조합 수서역발전소","서울시 강남구 수서동 735번지, 수서역 공영주차장","준비중","99.9","380","60","","2022-12-02"
"둥근수서햇빛발전소","서울시 강남구 수서동 736번지, 수서역 공영주차장","준비중","99.9","380","60","","2022-12-02"
"강서양천 수서역 햇빛발전소","서울시 강남구 수서동 737번지, 수서역 공영주차장","준비중","99.9","380","60","","2022-12-02"
"태양과바람 7호기","서울시 강남구 수서동 738번지, 수서역 공영주차장","준비중","99.9","380","60","","2022-12-02"
"SK은평 박석고개 태양광발전소","서울시 은평구 갈현동 1-6/1-12","가동중","29.625","380","60","2020","2022-12-02"
"SK동대문 장안킹 태양광발전소","서울시 동대문구 장안동 164-2","가동중","18.96","380","60","2020","2022-12-02"
"제기동 햇빛발전소","서울특별시 동대문구 약령시로 2길 36-3","가동중","19.2","380","60","2019","2022-12-02"
"서울시민 수서 햇빛발전소","서울시 강남구 수서동 735, 수서역 공영주차장","준비중","99.9","380","60","","2022-12-02"
"금천 수서 태양광발전소","서울시 강남구 수서동 735, 수서역 공영주차장","준비중","99.9","380","60","","2022-12-02"
"한울안 수서 태양광발전소","서울시 강남구 수서동 735, 수서역 공영주차장","준비중","99.9","380","60","","2022-12-02"
"강서양천 영남햇빛발전소(영등포 영남공영주차장)","서울특별시 영등포구 영등포동4가 123, 영남 공영주차장","가동중","71.38","380","60","2020","2022-12-02"
"한울안 영남태양광발전소","서울특별시 영등포구 영등포동4가 123, 영남 공영주차장","가동중","35.72","380","60","2021","2022-12-02"
"상계햇빛발전소","서울시 노원구 상계동 686(노원구립도서관)","가동중","96.2","380","60","2020","2022-12-02"
"강변북로 광나루 태양광발전소","서울시 광진구 광장동 561-2,574-16,574-12(옹벽)","가동중","140.4","380","60","2020","2022-12-02"
"성대골 햇빛발전소 1호","서울시 동작구 성대로2길 9(건축물 옥상)","가동중","10.125","220","60","2020","2022-12-02"
"장로회신학대학교 태양광발전소","서울시 광진구 광장로5길 25-1","가동중","96.8","380","60","2020","2022-12-02"
"공릉점기아오토큐 태양광발전소","서울시 노원구 동일로 173가길 112","가동중","27.39","380","60","2020","2022-12-02"
"광영 태양광발전소","서울시 광진구 능동로 256","가동중","16.5","380","60","2020","2022-12-02"
"주원 태양광발전소","서울시 동대문구 회기로 29길 30(휘경동)","가동중","13.32","380","60","2020","2022-12-02"
"양지 태양광발전소","서울시 노원구 공릉동 240-92,93","가동중","17.43","380","60","2019","2022-12-02"
"대일관광고 햇빛발전소","서울시 양천구 신정이펜1로11(대일관광고등학교 주차장)","가동중","84.375","380","60","2019","2022-12-02"
"kepco-1-72-자양고 태양광발전소","서울시 광진구 뚝섬로37길 28, 자양고등학교","가동중","98.77","380","60","2020","2022-12-02"
"kepco-1-73-대현초 태양광발전소","서울시 강남구 역삼로98길 16, 대현초등학교","가동중","98.77","380","60","2020","2022-12-02"
"kepco-1-74-성심여고 태양광발전소","서울시 용산구 원효로19길 49, 성심여자고등학교","가동중","74.605","380","60","2020","2022-12-02"
"kepco-1-76-당곡고 태양광발전소","서울시 관악구 봉천로21길 108, 당곡고등학교","가동중","28.22","380","60","2020","2022-12-02"
"kepco-1-77-숭실중 태양광발전소","서울시 은평구 은평터널로7길 6, 숭실중학교","가동중","49.385","380","60","2020","2022-12-02"
"kepco-1-79-불암고 태양광발전소","서울시 노원구 중계로 155, 불암고등학교","가동중","98.77","380","60","2020","2022-12-02"
"등원중 햇빛발전소 학교태양광","서울시 강서구 화곡로65길 50(등원중학교 건물 옥상)","가동중","99.9","380","60","2020","2022-12-02"
"성대골햇빛발전소 3호","서울시 동작구 상도로15바길 5(동작청소년문화의집)","가동중","25.12","380","60","2020","2022-12-02"
"태양과바람 8호기(덕산중학교)","서울시 은평구 가좌로 400(덕산중학교)","가동중","99.9","380","60","2020","2022-12-02"
"권오철 태양광발전소","서울시 동대문구 사가정로 13가길 3(전농동)","가동중","12.09","220","60","2020","2022-12-02"
"kepco-1-80-세곡중 태양광발전소","서울시 강남구 자곡로 81, 세곡중학교","가동중","35.7","380","60","2021","2022-12-02"
"한빛 태양광발전소","서울시 은평구 연서로35길 13-1","가동중","10.79","380","60","2020","2022-12-02"
"신성빌딩 태양광발전소","서울시 서초구 강남대로6길 133-19","가동중","20.15","220","60","2020","2022-12-02"
"강희용 태양광발전소","서울시 강남구 학동로18길 46 옥상층(논현동156-15)","가동중","15.25","220","60","2020","2022-12-02"
"송파나눔발전소 5호기","송파구 오금로1(신천 유수지 빗물펌프장)","가동중","63","380","60","2020","2022-12-02"
"방화 햇빛발전소","서울시 강서구 개화동 산16-5, 620-34, 295-7,293, 287 일대","가동중","635.04","22900","60","2020","2022-12-02"
"성대골햇빛발전소 2호","서울시 동작구 대방동23가길 8(건축물 옥상)","가동중","10.125","220","60","2020","2022-12-02"
"우리동네영남공영주차장햇빛발전소","서울특별시 영등포구 영등포동4가 123, 영남공영주차장(건축물 옥상)","가동중","99.6","380","60","2020","2022-12-02"
"건양수목원빌 태양광발전소","서울 구로구 연동로11길 26(항동)","가동중","19.92","380","60","2020","2022-12-02"
"허행석 태양광발전소","서울특별시 동대문구 신이문로6길 5","준비중","13.28","380","60","","2022-12-02"
"태양과바람 9호기","서울시 은평구 진관동 125, 은평다목적체육관","가동중","99.9","380","60","2020","2022-12-02"
"삼경빌라 태양광발전소","서울특별시 서초구 도구로 120-6(방배동 862-14 외1)","가동중","19.5","220","60","2020","2022-12-02"
"신월6동태양광발전소","서울시 양천구 신월동 1002-18()","가동중","43.16","380","60","2020","2022-12-02"
"태양과바람10호기","서울시 서대문구 연희로11마길906(서연중학교)","가동중","31.5","380","60","2020","2022-12-02"
"영서 둔촌태양광발전소","서울시 강동구 양재대로 96길29","가동중","19.505","220","60","2020","2022-12-02"
"kepco-1-81-경복고 태양광발전소","서울시 종로구 자하문로28가길 9, 경복고등학교","가동중","35.7","380","60","2021","2022-12-02"
"kepco-1-82-창일중 태양광발전소","서울시 도봉구 노해로66길 60, 창일중학교","가동중","78.54","380","60","2021","2022-12-02"
"백년 태양광발전소","서울시 서초구 방배동 593-10(2개동 건물 위)","준비중","19.92","380","60","","2022-12-02"
"수배빌딩 태양광발전소","서울시 송파구 백제고분로32길 6(삼전동72-14) ","가동중","13.28","220","60","2021","2022-12-02"
"하나 태양광발전소","서울시 서초구 강남대로37길 56-17","가동중","18","220","60","2020","2022-12-02"
"섬기는교회 태양광발전소","서울시 관악구 쑥고개로32","가동중","18.675","380","60","2020","2022-12-02"
"신화 태양광발전소","서울시 강남구 역삼로14길11(역삼동792)","가동중","10.35","220","60","2020","2022-12-02"
"월라이트 태양광발전소","서울시 서초구 강남대로18길 15-13","가동중","16.2","220","60","2020","2022-12-02"
"이로스 태양광발전소","서울시 송파구 중대로9길 5","가동중","19.22","220","60","2020","2022-12-02"
"올림픽대로 태양광발전소","서울시 송파구 신천동 1, 5번지(잠실철교 남단 올림픽대로 폐도로)","가동중","97.44","380","60","2020","2022-12-02"
"만복 태양광발전소","서울시 강동구 동남로82길 101","가동중","13.95","220","60","2020","2022-12-02"
"풍성그레이스 유한책임회사","서울시 송파구 올림픽로45길19","가동중","28.8","380","60","2020","2022-12-02"
"한성 태양광발전소","서울시 송파구 가락로18길 8-1(송파동97-21)","가동중","19.35","220","60","2020","2022-12-02"
"청원초 태양광발전소","서울시 노원구 한글비석로 506 (건물 옥상)","가동중","96.475","380","60","2020","2022-12-02"
"헤빛온 서울식물원발전소","서울시 강서구 마곡동 20-3 외 3필지 서울식물원 제2주차장","가동중","499.5","380","60","2021","2022-12-02"
"헤빛온 화곡 6-1 주차장","서울시 강서구 우장산로 114 화곡6-1공영주차장","가동중","63","380","60","2020","2022-12-02"
"람곡 태양광발전소","서울시 강북구 한천로 993","가동중","10.465","220","60","2021","2022-12-02"
"신현기 태양광발전소","서울시 은평구 통일로 912","가동중","16.8","380","60","2021","2022-12-02"
"옥상달빛 태양광발전소","서울시 도봉구 창동 263-37","가동중","12.905","380","60","2020","2022-12-02"
"구립서초노인요양센터 태양광발전소","서울시 서초구 남부순환로 340길 21","가동중","70.55","380","60","2021","2022-12-02"
"서초종합체육관 태양광발전소","서울시 서초구 양재대로 12길 73-48","가동중","352","380","60","2021","2022-12-02"
"한우리정보문화센터 태양광발전소","서울시 서초구 남부순환로340길 15 ","가동중","190.485","380","60","2021","2022-12-02"
"신정 태양광발전소","서울시 양천구 신정동 940-38","가동중","19.92","380","60","2020","2022-12-02"
"광진 태양광발전소","서울시 광진구 중곡동 24-29(건물 옥상)","가동중","24.4","380","60","2021","2022-12-02"
"헤빛온 개화차량기지 발전소","서울시 강서구 개화동로8길 38 중정비분소, 종합창고, 기취고 부속건물 지붕","가동중","500.85","380","60","2021","2022-12-02"
"신주리버빌 태양광발전소","서울시 강동구 천호동 290-13","가동중","21.42","220","60","2021","2022-12-02"
"금강블루빌 태양광발전소","서울시 강동구 천호동 290-13","가동중","17.64","220","60","2021","2022-12-02"
"도레테크 태양광발전소","서울시 관악구 난곡로51길21","가동중","18.9","380","60","2021","2022-12-02"
"동부그린 태양광발전소","서울시 관악구 봉천동 41-551","가동중","13.68","220","60","2021","2022-12-02"
"림스 태양광발전소","서울시 동작구 상도로45길 67","가동중","12.905","220","60","2021","2022-12-02"
"슈마 태양광발전소","서울시 금천구 독산로 71","준비중","11.25","380","60","","2022-12-02"
"운현궁에스케이허브 태양광발전소","서울시 종로구 삼일대로 461 101동 옥상","가동중","92.82","380","60","2022","2022-12-02"
"도봉햇빛나눔발전소 4호기","서울시 도봉구 창동 677번지(초안산근린공원 창골 주차장)","가동중","68.25","380","60","2021","2022-12-02"
"성대골햇빛발전소 5호","서울시 동작구 여의대방로20길 33(보라매안전체험관)","준비중","94.8","380","60","","2022-12-02"
"성대골햇빛발전소 6호","서울시 동작구 여의대방로20길 33(보라매안전체험관)","준비중","33.18","380","60","","2022-12-02"
"경동시장 태양광발전소","서울시 동대문구 고산자로36길 3(경동시장 신관 옥상)","가동중","84.28","380","60","2021","2022-12-02"
"심산기념문화센터 태양광발전소","서울시 서초구 사평대로 55","가동중","231.57","380","60","2021","2022-12-02"
"반포1동 주민센터 태양광발전소","서울시 서초구 사평대로 273","가동중","49.385","380","60","2021","2022-12-02"
"내곡느티나무쉼터 태양광발전소","서울시 서초구 염곡말길 9","가동중","72.8","380","60","2021","2022-12-02"
"SK창동 태양광발전소","서울시 도봉구 도봉로 434","가동중","18.06","380","60","2021","2022-12-02"
"SK북부 태양광발전소","서울시 도봉구 도봉로 437","가동중","18.06","380","60","2021","2022-12-02"
"SK신길동 태양광발전소","서울시 영등포구 영등포로 348","가동중","25.8","380","60","2021","2022-12-02"
"SK신평 태양광발전소","서울시 양천구 목동남로 62(신정7동 209-6)","가동중","25.8","380","60","2021","2022-12-02"
"SK은평뉴타운 태양광발전소","서울시 은평구 통일로 924(불광동 493)","가동중","20.64","380","60","2021","2022-12-02"
"SK박미 태양광발전소","서울시 금천구 시흥대로 39-7(시흥3동 980)","가동중","20.64","380","60","2021","2022-12-02"
"SK신봉천 태양광발전소","서울시 관악구 남부순환로 1880(봉천동 1663-11)","가동중","15.48","380","60","2021","2022-12-02"
"그리드위즈 도봉1호 태양광발전소","서울시 도봉구 창포원로 45 테니스장(건물 위)","가동중","168","380","60","2021","2022-12-02"
"감명숙 태양광발전소","서울시 송파구 백제고분로7길 28 건축물 옥상","준비중","22.68","380","60","","2022-12-02"
"그리드위즈 도봉2호 태양광발전소","서울시 도봉구 창포원로 45 배드민턴장(건물 위)","가동중","36","380","60","2021","2022-12-02"
"문화류씨고양공파종중 태양광발전소","서울시 중구 퇴계로44길 11","가동중","29.4","380","60","2021","2022-12-02"
"장로회신학대학교 2차 태양광발전소","서울시 광진구 광장로5길 25-1","가동중","72.66","380","60","2021","2022-12-02"
"세호 태양광발전소 ","서울시 송파구 송파동 97-14","가동중","18","220","60","2021","2022-12-02"
"씨에이치홀딩스 1호 태양광발전소","서울시 동대문구 이문동 217-10","가동중","12.6","380","60","2021","2022-12-02"
"성호솔라텍 태양광발전소","서울시 송파구 백제고분로 34길8(석촌동 211-5) 옥상","준비중","14.4","380","60","","2022-12-02"
"강동나눔발전소(천호빗물펌프장)","서울시 강동구 천호동 329 천호빗물펌프장(건축물 옥상)","가동중","98.28","380","60","2021","2022-12-02"
"한진 태양광발전소","서울시 용산구 한강로3가 40-93(건축물 옥상)","준비중","18.48","380","60","","2022-12-02"
"한빛 태양광발전소","서울시 양천구 신월동 575-14","준비중","10.92","380","60","","2022-12-02"
"케이서울햇빛발전소 고덕 태양광발전소","서울시 강동구 아리수로87길 32(지하철 5호선 고덕차량기지 지붕)","준비중","978.75","22900","60","","2022-12-02"
"케이서울햇빛발전소 신내 태양광발전소","서울시 중랑구 용마산로 136길 33(지하철 6호선 신내차량기지 지붕)","가동중","1704.96","22900","60","2022","2022-12-02"
"CM에너지 태양광발전소","서울시 중구 퇴계로 382(신당동, 태화빌딩)","준비중","69.72","380","60","","2022-12-02"
"성보1호기 태양광발전소","서울시 관악구 조원로 10 성보빌딩(건물옥상)","가동중","9.555","220","60","2021","2022-12-02"
"범진빌딩 태양광발전소","서울시 중랑구 상봉동 220-8(건물옥상)","가동중","17.55","380","60","2021","2022-12-02"
"kck빌 태양광발전소","서울시 관악구 조원로 124-4(신림동)","준비중","12.88","380","60","","2022-12-02"
"제일 태양광발전소","서울시 금천구 1다길 24(건물옥상)","가동중","16.1","380","60","2021","2022-12-02"
"상용 태양광발전소","서울시 강동구 성내로 13길 58-14","가동중","15.925","220","60","2021","2022-12-02"
"브이센터 태양광발전소","서울시 강동구 아리수로 61길 103","준비중","70.2","380","60","","2022-12-02"
"강동타워 태양광발전소","서울시 강동구 상일로6길 39(건물옥상)","준비중","74.88","380","60","","2022-12-02"
"배재고등학교 태양광발전소","서울시 강동구 고덕로 227","가동중","497.7","380","60","2021","2022-12-02"
"길하우스 태양광발전소","서울시 영등포구 양평동3가 30-25(건물옥상)","가동중","9.63","380","60","2021","2022-12-02"
"중앙신관 태양광발전소","서울시 강서구 까치산로2길 89-1(건물 옥상)","가동중","19.32","380","60","2021","2022-12-02"
"중앙교회 태양광발전소","서울시 강서구 까치산로2길 89-1(건물 지붕)","가동중","17.94","380","60","2021","2022-12-02"
"일자산 제1체육관 태양광발전소","서울시 강동구 동남로 660(둔촌동 산125)","준비중","115.2","380","60","","2022-12-02"
"상명 태양광발전소","서울시 마포구 와우산로3길 3","준비중","27.72","380","60","","2022-12-02"
"이국종 태양광발전소","서울시 송파구 문정동 67-1","준비중","15.015","380","60","","2022-12-02"
"삼전 태양광발전소","서울시 송파구 백제고분로27길15-4","가동중","10.44","220","60","2022","2022-12-02"
"위너스 태양광발전소","서울시 금천구 독산동 335-21","가동중","21.84","380","60","2021","2022-12-02"
"더빌딩 태양광발전소","서울시 금천구 가산동 238-43","가동중","19.11","380","60","2021","2022-12-02"
"pause발전","서울시 구로구 연동로11길 4-1(항동)","가동중","15.36","380","60","2022","2022-12-02"
"승보 태양광 발전소","서울시 관악구 남부순환로 1517-1","가동중","15.64","380","60","2022","2022-12-02"
"박병길 태양광발전소","서울시 영등포구 선유로 22길5","준비중","13","380","60","","2022-12-02"
"서울서부회태양광발전 주식회사","서울시 은평구 연서로 68(역촌동)","가동중","29.7","380","60","2021","2022-12-02"
"로얄 태양광발전소","서울시 송파구 동남로6길 41-13","가동중","12.42","220","60","2022","2022-12-02"
"성민수 태양광발전소","서울시 강남구 봉은사로63길 29(삼성동41-24)","준비중","13.92","220","60","","2022-12-02"
"문화류씨고양공파종중2 태양광발전소","서울시 금천구 독산로54길 32","준비중","51.52","380","60","","2022-12-02"
"이레재태양광발전소","서울시 송파구 마천로 61다길19 이레재하우스","준비중","10.08","220","60","","2022-12-02"
"이리스힐발전소","서울시 은평구 구산동 308-16","준비중","17.28","380","60","","2022-12-02"
"청원여자고등학교옥상88.16kW태양광발전소","서울시 노원구 한글비석로 506 청원여자고등학교 옥상","가동중","88.16","380","60","2021","2022-12-02"
"영진3호 태양광발전소","서울시 성북구 보국문로69","준비중","14.88","380","60","","2022-12-02"
"영진1호 태양광발전소","서울시 성북구 보국문로69","준비중","29.76","380","60","","2022-12-02"
"영진2호 태양광발전소","서울시 성북구 보국문로69","준비중","29.76","380","60","","2022-12-02"
"큰솔 태양광발전소","서울시 중랑구 양원역로16길 103-15","가동중","29.76","380","60","2022","2022-12-02"
"테크노시스템 태양광발전소","서울시 노원구 화랑로60길 80-2","가동중","19.68","380","60","2022","2022-12-02"
"도원개봉발전소","서울시 구로구 개봉로16길 27(개봉동)","준비중","7.02","380","60","","2022-12-02"
"장로회신학대학교 3차 태양광발전소","서울시 광진구 광장로5길 25-1 마포삼열기념관 건물 옥상","가동중","28.42","380","60","2022","2022-12-02"
"삼오발전소","서울시 중랑구 동일로 832 삼오빌딩(건축물 위)","준비중","24","380","60","","2022-12-02"
"글로벌4호 태양광발전소","서울시 금천구 가산동 345-1","준비중","196.2","380","60","","2022-12-02"
"불광천주차장 태양광발전소","서울시 서대문구 북가좌동 352-9 외 3필지","준비중","143.075","380","60","","2022-12-02"
"신주 태양광발전소","서울시 강동구 상암로 72-15 옥상","가동중","19.32","220","60","2022","2022-12-02"
"리빙스톤 태양광발전소","서울시 서대문구 성산로17길 18-17","준비중","24.38","220","60","","2022-12-02"
"해바라기 태양광발전소","서울시 은평구 대조동 15-132","준비중","17.85","220","60","","2022-12-02"
"근영 태양광발전소","서울시 금천구 독산동 1059-11(건축물 옥상)","준비중","19.55","380","60","","2022-12-02"